index,name,prompt
1,Deep Aggressive Rap,"Deep intimidating rap delivery with hard consonants, controlled breath, sharp accents, and commanding pocket."
2,Raspy Drill Cadence,"Raspy aggressive drill cadence with clipped phrases, sudden rests, and tense behind-the-beat placement."
3,Fast Technical Flow,"Fast technical flow with precise articulation, internal-rhyme momentum, and clean rhythmic switches."
4,Lazy Behind-the-Beat Flow,Relaxed behind-the-beat phrasing with unhurried confidence and deliberate pauses.
5,Melodic Auto-Tuned Rap,"Melodic Auto-Tuned rap with elastic pitch slides, emotional cadence, and layered hook doubles."
6,Breathy Ethereal Singing,"Breathy ethereal lead with soft attacks, long floating notes, and intimate layered harmonies."
7,Powerful Soul Belt,"Powerful soulful singing with controlled grit, wide dynamics, and emotionally rising belts."
8,Intimate Storytelling Vocal,Close-mic conversational singing that prioritizes clear narrative and small emotional inflections.
9,Aggressive Rock Shout,Forceful rock vocal switching between melodic grit and explosive shouted accents.
10,Instrumental Performance,No lead vocal; let instrumental motifs carry the complete emotional narrative.
11,Monastic Chant and Operatic Rap,"Deep monastic chant answered by an urgent rap soloist and operatic high-register phrases, with clear handoffs rather than an unintelligible wall of voices."
12,Conversational Rap,"Use Conversational Rap with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
13,Boom Bap Pocket,"Use Boom Bap Pocket with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
14,Rapid Triplet Flow,"Use Rapid Triplet Flow with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
15,Whisper Rap,"Use Whisper Rap with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
16,Rage Shouts,"Use Rage Shouts with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
17,Smooth R&B Croon,"Use Smooth R&B Croon with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
18,Neo-Soul Runs,"Use Neo-Soul Runs with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
19,Power Pop Belt,"Use Power Pop Belt with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
20,Breathy Indie Singing,"Use Breathy Indie Singing with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
21,Raspy Rock Belt,"Use Raspy Rock Belt with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
22,Pop-Punk Snarl,"Use Pop-Punk Snarl with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
23,Metalcore Scream and Clean,"Use Metalcore Scream and Clean with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
24,Death Growls,"Use Death Growls with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
25,Operatic Lead,"Use Operatic Lead with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
26,Gospel Call and Response,"Use Gospel Call and Response with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
